IdPizza;Name;Ingredients;Mass;Price
1;Микс;Соус томатный, сыр моцарелла, ветчина, салями, сосиски баварские с зеленью, помидоры, перец болгарский;520;580,00
2;Сырная;Соус ранч, сыр моцарелла, сыр гауда, сыр пармезан, салат руккола;460;550,00
3;Грибнaя;Соус грибной, сыр, шампиньоны, опята маринованные, грибы шиитаке, микс салат;735;610,00
4;Мясная;Соус ранч, сыр моцарелла, колбаса п/к, куриное филе, кусочки поджарки из свинины, пепперони, салат руккола;530;580,00
5;Рыбная;Соус фирменный, сыр моцарелла, семга, креветки, лук красный, салат руккола;510;750,00
6;Маргарита;Томатный соус, сыр, помидоры, базиилик;820;590,00
7;Барбекю;Томатный соус, сыр, мясной топинг, сосиски баварские с зеленью, помидоры, перец болгарский, лук красный, соус барбекю;590;970,00
8;Итальянская;Томатный соус, сыр, ветчина, салями, куриная грудка, болгарский перец, шампиньоны, помидоры;710;990,00
9;С копченостями;Томатный соус, сыр, ветчина, бекон, салями, охотничьи колбаски, шампиньоны;520;430,00
10;Пепперони;Томатный соус, сыр, пепперони;740;570,00
11;Золотая рыбка;Фирменный соус, сыр, семга, креветки, красный лучок;740;590,00
12;Жюльен;Соус Цезарь, куриная грудка, сыр моцарелла, сыр пармезан, сливки, шампиньоны, помидоры, микс салат;500;620,00
13;Баварская;Томатный соус, сыр, бастурма, колбаски пепперони, колбаски охотничьи, чеснок, перчик халапеньо;820;790,00
14;Четыре сыра;Томатный соус, сыр моцарелла, сыр пармезан, сыр гауда, сыр с плесенью;790;760,00
15;Цезарь;Соус Цезарь, сыр пармезан, сыр моцарелла, куриная грудка, салат айсберг, помидоры черри;800;630,00
16;Ветчина и грибы;Томатный соус, сыр, много ветчины, шампиньоны, помидоры;600;480,00
17;Деревенская;Фирменный соус, сыр, колбаса п/к, ветчина, шампиньоны, помидоры, маринованные огурчики, перец болгарский, красный лук;970;870,00
18;Дон Бекон;Томатный соус, сыр, много бекона, помидорки черри;420;860,00
19;Гавайская;Томатный соус, сыр, много ветчины, ананасы кубиком;650;790,00
20;Студенческая;Фирменный соус, майонез, сыр, колбаса студенческая, помидоры;550;480,00
